0,1,2,3,4,5
,,,,,
"SL.
No.","Name  and Address  of
the Contributing
Person/Company","PAN (if pay)
and Income
Tax
Ward/Circle","Amount of
Contributi
on Rs.","Made of
Contribution
Cheque/Dema
nd Drafts Cash",Remark
1.,"S.Sudhakar  Reddy
General  Secretary,
Communist  Party of India,
Suit No. 314, Rafi Marg,
New Delhi- 110 001",ABGPS  7448R,"500,000
469,000","Cash
Cheque","Party Fund
Collection
Levy  and
Contribution"
),"A.B.Bardhan,  Secretary,
Communist  Party of India,
Ajoy  Bhavan, 15, Com.
Indrajit,  Gupta Marg,
New Dplur-l l0 002",AODPB 9593E,"626,000
129,624","Cash
Cheque","Collection
Contribution"
3.,"Shameem  Faizee
Secretary,  Communist
Party of India, AB-4,
Purana, Quila Road,
Npw DelHr 110 001",AAAPF  9663Q,"159,000
240,120","Cash
Cheque","Collection
Contribution"
"4.
5.
6.
7.","Amarjeet Kaur,
Secretary,  Communist
Party of India,287 Khoat
Enclave, Pitampura,
Delhi  110034
D. Raja,
M.P. (RS) & Secretary,
Communist  Party of
India, 309, V.P. House,
RafiMare, New Delhi -1
Atul Kumar  Anjaan,
Secretary,  Communist
Party of India,15,  Kotla
Marg,  New Delhi - 2
Gurudas Dasgupta
Ex-M.P.  & Secretary,
Communist  Party of
India,  AITUC Bhavan
35-36 DDU Marg
Npw Der-HI-l10  002","AASPK  O7I7A
BJOPR  3OI6D
AFPPA  3095R","271,960
120,000
200,000
25,00,000","Cash
Cash
Cash
Cash","Sale of
Publication of
AITUC  and
Collection
Collection
Party Fund
Collection
Collection"
,,,,,
,,,,,
,,,,,
,,,,,
"8.
Ramendra  Kumar
Secretary,  Communist
Party  of India, United  Coa
workers  Union,  Post
Bhurkunda-  829 135, Disl
Hazaibash.  Jharkhand",,AMIPK  6OO7F,"300,000
Cash",,Collection
"9.
Pannian  Ravindran,
Ex-M.P., & Secretary,
Communist  Party of
India, Kerala State
Council, M.N.
Samardian,  Trivdnrum",,PSAPR  0478J,"200,000
Cash
36,000
Cheque",,"Collection
Levy"
"10.
Somasundaram,
Treasurer, Communist
Party of India,4Windsor
Place, New Delhi",,DKSPS  260sQ,"100,000
Cash",,Collection
"11.
E.C. Ltd. Bengal  Coal
Communist  Parfy of
India,  United Coal
workers  Union, Post
Bhurkunda-  829  135,
Dist. Hazaribagh,
Jharkhand",,Not known,"50,000
Cash
100,000
Cheque",,Collection
"12.
13.
Delhi State  Council
lommunist Party of India,
417 Asaf Ali Road,
New Delhill0002
14.
K.S. Parthasarthi W.
247,Wood Enclave,
Bangalore - 562152
15.
Gaya Singh, Ex-M.P.
16.
K.S. Mishra
M.P. State Council
Communist  Party of
India, Shakir  Sadan, Patel
Nagar, Labour Colony,
Nr. Bharat,  Talkies,
Bhopal-462001
17.
B.H. Malapalle
01314, Defence Colony,
New Delhi.","All India Mazdoor
Union, AITUC,
Kalakaii, New Delhi-l9","Not known
Not known
Not Known
APSPS 5544J
Not known
Not known
Not known","25,000
25,000
Cheque
50,000
Cheque
25,000
Cash
25,000
D/D
50,000
Cheque",Cheque,"Collection
Party Fund
Our State Unit
Contribution
Party Fund
Contribution
Party Fund
Contribution
Party Fund
Party Fund
Party Fund
Our State  Unit"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
18.,"Punjab  State  Council
Communist  Party of
India, Ajoy  Bhavan,345
Sector-  21A,
Chandiearh-160023",,"100,000",Cheque,
